,PrivCo_ID,profile_type,classification,status,PE_Backed,VC_Backed,year_founded,City,State,Country,Zip,Industry_PICS,Keywords,sic,naics,Company_Tags,fiscal_month,fiscal_day,Total_Round,index_total_funding,Latest_Valuation,Latest_Valuation_Year,1 Year Revenue Growth,3 Year Revenue Growth,1 Year Employee Growth,3 Year Employee Growth,2024 Revenue,2023 Revenue,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2024 Employees,2023 Employees,2022 Employees,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2023 EBITDA,2022 EBITDA,2021 EBITDA,2020 EBITDA,2019 EBITDA,2018 EBITDA,2017 EBITDA,2023 EV,2022 EV,2021 EV,2020 EV,2019 EV,2018 EV,2017 EV,2023 Net Income,2022 Net Income,2021 Net Income,2020 Net Income,2019 Net Income,2018 Net Income,2017 Net Income
1,4656,Company,Public,Active,No,No,2020,Minnetonka,MN,US,55343,Semiconductors & Semiconductor Equipment,Information Technology|Renewable Energy|Solar|Technology Services,36|366|3577|3661|4899|5199|7359,221114,,12,31,0,,,,-16.3635,-18.5351,-26.1084,7.8983,,,27522000,,42576000,50906000,,,,,255,,150,203,,,,-7000000,,-2000000,1000000,,,,,,,,,,,-27216000,,-172000,6469000,,
2,42154,Company,Private,Active,No,No,2017,Cedar Rapids,IA,US,52401,Publishing,Newspapers|Publishing,27|48|60|61|2711|5192|6153|6282,511110,,12,31,0,,34000000,2023,1.25,-13.6946,-39.4286,-19.0733,,40500000,40000000,39000000,63000000,74500000,70000000,65500000,,,,212,350,420,400,380,3600000,3950000,4150000,6050000,8750000,7400000,6600000,34000000,30500000,40000000,55000000,76000000,63500000,56000000,2550000,2800000,2900000,,,,
3,45384,Company,Private,Active,No,Yes,2017,Seattle,WA,US,98121,Professional Services,Consulting|Legal|Professional Services,6770,,VC Backed,12,31,3,18800000,60000000,2020,12.8652,,13.5417,63.3662,,,7980000,7070384,,,,,,,218,192,,50,,,,,,,,,,,,,,,,,,,,,,,
4,47579,Company,Private,Active,No,No,2018,Houston,TX,US,77057,Consumer Products Distributors,Asian-Led|Consumer Products|Cryptocurrency|Distribution|Fintech|Holding Company|Insurtech|Mergers & Acquisitions|Software Development,3944|5092|5199,,,12,31,0,,6850000,2023,10.6061,,,,,7300000,6600000,,,,,,,,20,,,,,,562500,565000,,,,,,6850000,5650000,,,,,,395000,395000,,,,,
5,268903,Company,Private,Active,No,Yes,2017,Mountain View,CA,US,94041,Software & Internet Services,Analytics|Artificial Intelligence|Big Data|Cloud|Enterprise Software|Internet of Things|No Code|Predictive Analytics|Quantum Computing|SaaS|Technology,7372,,VC Backed,12,31,8,173656500,535000000,2019,11.1111,11.0604,2.9412,4.5801,,50000000,45000000,38500000,36500000,34500000,31000000,,,,,175,170,165,153,,,,,,,,,,,,,,,,,,,,,,
6,272088,Company,Private,Active,No,No,2018,Fernley,NV,US,89408,Building Products,Accessories|Asphalt|Building Products|Concrete|Flooring|Manufacturing|Paving|Roofing|Tile|Windows & Doors,17|26|39,,Acquired|Subsidiary,12,31,0,,38217500,2020,16.3265,12.5309,13.0435,9.1393,,,,,28500000,24500000,22500000,20000000,,,,,130,115,110,100,,,,2950000,3100000,2550000,2150000,,,,38217500,38215000,31268000,26133000,,,,,,,
7,273783,Company,Private,Active,No,No,2017,Fort Walton Beach,FL,US,32548,Automotive & Consumer Vehicle Retail,Automotive|Dealership|Parts|Retail|Trucks|Used,59,,,12,31,0,,675000000,2023,5.8468,220.479,1604.5455,132.0794,,1050000000,992000000,949575441,31900000,47100000,45000000,43000000,,,,750,44,65,60,50,55000000,58000000,59000000,1800000,3200000,2750000,2500000,675000000,580000000,715000000,20500000,35500000,30000000,27000000,38500000,40500000,41500000,,,,
8,342034,Company,Private,Active,No,No,2018,Calabasas,CA,US,91302,Automotive & Consumer Vehicle Retail,Accessories|Automotive|Dealership|Parts|Retail,59,,,12,31,0,,105000000,2023,3.7736,6.1374,-33.3333,-10.6096,,165000000,159000000,152000000,138000000,204000000,200000000,195600000,,,,,150,225,220,210,8650000,9300000,9450000,7700000,14000000,12500000,11500000,105000000,93000000,115000000,89500000,155000000,135000000,125000000,6050000,6500000,6600000,,,,
9,347134,Company,Private,Active,No,No,2017,Scottsdale,AZ,US,85258,Software & Internet Services,Cloud|Collaboration|Communications|Enterprise Software|Productivity|SaaS|Technology,7372,511210,Acquired,12,31,5,18490000,45000000,2020,14.6341,18.5631,32,27.2911,,2350000,2050000,1710000,1410000,1050000,840000,672000,,,,,33,25,20,16,,,,,,,,,,,,,,,,,,,,,
10,616283,Company,Private,Active,No,Yes,2020,New York,NY,US,10013,Software & Internet Services,Blockchain|Cryptocurrency|Ethereum|Fintech|NFT|Web3,89|737,,VC Backed,12,31,1,100000000,1500000000,2021,12.6374,7.2874,5.5556,8.1984,,20500000,18200000,17600000,16600000,14900000,14400000,14000000,,,,76,72,65,60,50,,,,,,,,,,,,,,,,,,,,,
